134                  ! TOTAL NUMBER OF ELEVATION RECORDING STATIONS     
  -75.553198       35.795 ! 8652587 ! Oregon Inlet Marina                  ! NC ! NOAA_NOS
   -75.70417    35.212708 ! 8654467 ! USCG Hatteras                        ! NC ! NOAA_NOS
   -76.67228     34.71808 ! 8656483 ! Beaufort                             ! NC ! NOAA_NOS
  -77.952628      34.2275 ! 8658120 ! Wilmington                           ! NC ! NOAA_NOS
  -77.784973     34.21331 ! 8658163 ! Wrightsville Beach                   ! NC ! NOAA_NOS
  -78.916384       33.655 ! 8661070 ! Springmaid Pier                      ! SC ! NOAA_NOS
   -79.18425    33.34871  ! 8662245 ! Oyster Landing (N. Inlet Estuary)    ! SC ! NOAA_NOS
  -79.922178      32.7817 ! 8665530 ! Charleston Harbor                    ! SC ! NOAA_NOS
    -80.9017    32.034612 ! 8670870 ! Fort Pulaski                         ! GA ! NOAA_NOS
  -81.466768      30.6717 ! 8720030 ! Fernandina Beach                     ! FL ! NOAA_NOS
      -81.43      30.3967 ! 8720218 ! Mayport (Bar Pilots Dock)            ! FL ! NOAA_NOS
    -81.5583      30.3867 ! 8720219 ! Dames Point                          ! FL ! NOAA_NOS
   -81.65822     30.32132 ! 8720226 ! Southbank Riverwalk St Johns River   ! FL ! NOAA_NOS
  -81.688438      30.1917 ! 8720357 ! I-295 Bridge St Johns River          ! FL ! NOAA_NOS
  -81.54943      29.80002 ! 8720625 ! Racy Point St Johns River            ! FL ! NOAA_NOS
  -80.593527     28.41583 ! 8721604 ! Trident Pier                         ! FL ! NOAA_NOS
   -80.03417     26.61278 ! 8722670 ! Lake Worth Pier                      ! FL ! NOAA_NOS
   -80.11457     26.08128 ! 8722956 ! South Port Everglades                ! FL ! NOAA_NOS
    -80.1618    25.731155 ! 8723214 ! Virginia Key                         ! FL ! NOAA_NOS
   -81.10482     24.71363 ! 8723970 ! Vaca Key                             ! FL ! NOAA_NOS
   -81.80914     24.55506 ! 8724580 ! Key West                             ! FL ! NOAA_NOS
   -81.87213     26.64793 ! 8725110 ! Naples                               ! FL ! NOAA_NOS
    -81.8717      26.6467 ! 8725520 ! Fort Myers                           ! FL ! NOAA_NOS
   -82.56378     27.63899 ! 8726384 ! Port Manatee                         ! FL ! NOAA_NOS
   -82.62744     27.75894 ! 8726520 ! St. Petersburg Tampa Bay             ! FL ! NOAA_NOS
  -82.55411      27.85805 ! 8726607 ! Old Port Tampa                       ! FL ! NOAA_NOS
     -82.425     27.91333 ! 8726667 ! Mckay Bay Entrance                   ! FL ! NOAA_NOS
   -82.83312     27.97809 ! 8726724 ! Clearwater Beach                     ! FL ! NOAA_NOS
   -83.03089     29.13302 ! 8727520 ! Cedar Key                            ! FL ! NOAA_NOS
   -84.97752     29.72701 ! 8728690 ! Apalachicola                         ! FL ! NOAA_NOS
   -85.66791     30.15117 ! 8729108 ! Panama City                          ! FL ! NOAA_NOS
    -85.87825    30.21195 ! 8729210 ! Panama City Beach                    ! FL ! NOAA_NOS
    -87.21217    30.40132 ! 8729840 ! Pensacola                            ! FL ! NOAA_NOS
    -87.82986    30.41107 ! 8732828 ! Weeks Bay Mobile Bay                 ! AL ! NOAA_NOS
  -88.073412        30.25 ! 8735180 ! Dauphin Island                       ! AL ! NOAA_NOS
     -88.088     30.56517 ! 8735391 ! Dog River Bridge                     ! AL ! NOAA_NOS
   -88.10483     30.45242 ! 8735523 ! East Fowl River Bridge               ! AL ! NOAA_NOS
   -88.05388     30.64841 ! 8736897 ! Coast Guard Sector Mobile            ! AL ! NOAA_NOS
  -88.039302      30.7083 ! 8737048 ! Mobile State Docks                   ! AL ! NOAA_NOS
  -88.04936      30.76300 ! 8737138 ! Chickasaw Creek                      ! AL ! NOAA_NOS
  -88.18974      30.36286 ! 8738043 ! West Fowl River Bridge               ! AL ! NOAA_NOS
   -88.27149     30.37943 ! 8739803 ! Bayou La Batre Bridge                ! AL ! NOAA_NOS
  -88.39203      30.38258 ! 8740166 ! Grand Bay NERR Mississippi Sound     ! MS ! NOAA_NOS
   -88.50999     30.33189 ! 8741041 ! Dock E Port of Pascagoula            ! MS ! NOAA_NOS
   -88.56860     30.34462 ! 8741533 ! Pascagoula NOAA Lab                  ! MS ! NOAA_NOS
   -89.32578     30.32639 ! 8747437 ! Bay Waveland Yacht Club              ! MS ! NOAA_NOS
   -89.25831     29.17831 ! 8760721 ! Pilottown                            ! LA ! NOAA_NOS
  -89.406667    28.931667 ! 8760922 ! Pilots Station East SW Pass          ! LA ! NOAA_NOS
  -89.678981    29.870579 ! 8761305 ! Shell Beach                          ! LA ! NOAA_NOS
  -89.95312      29.26393 ! 8761724 ! Grand Isle                           ! LA ! NOAA_NOS
   -90.11333     30.02722 ! 8761927 ! New Canal Station                    ! LA ! NOAA_NOS
  -90.137257     29.93289 ! 8761955 ! Carrollton                           ! LA ! NOAA_NOS
   -90.21589     29.10553 ! 8762075 ! Port Fourchon Belle Pass             ! LA ! NOAA_NOS
    -90.38889    30.06893 ! 8762483 ! I-10 Bonnet Carre Floodway           ! LA ! NOAA_NOS
   -91.23761      29.6675 ! 8764044 ! Berwick Atchafalaya River            ! LA ! NOAA_NOS
   -91.33811     29.44961 ! 8764227 ! LAWMA Amerada Pass                   ! LA ! NOAA_NOS
    -91.3839      29.3675 ! 8764314 ! Eugene Island North                  ! LA ! NOAA_NOS
     -92.305       29.555 ! 8766072 ! Freshwater Canal Locks               ! LA ! NOAA_NOS
   -93.34289     29.76817 ! 8768094 ! Calcasieu Pass                       ! LA ! NOAA_NOS
   -93.86811      29.7284 ! 8770570 ! Sabine Pass North                    ! TX ! NOAA_NOS
     -94.985    29.681815 ! 8770613 ! Morgans Point                        ! TX ! NOAA_NOS
  -94.914538        29.48 ! 8771013 ! Eagle Point                          ! TX ! NOAA_NOS
    -94.7933    29.310924 ! 8771450 ! Galveston Pier 21                    ! TX ! NOAA_NOS
    -95.3025    28.942452 ! 8772447 ! Freeport                             ! TX ! NOAA_NOS
    -96.3301      28.4269 ! 8773767 ! Matagorda Bay Entrance Channel       ! TX ! NOAA_NOS
  -97.046079     28.02167 ! 8774770 ! Rockport                             ! TX ! NOAA_NOS
    -97.2167        27.58 ! 8775870 ! Bob Hall Pier Corpus Christi         ! TX ! NOAA_NOS
    -97.19489    26.06087 ! 8779770 ! Port Isabel                          ! TX ! NOAA_NOS
     -64.705    17.752867 ! 9751364 ! Christiansted Harbor St Croix        ! VI ! NOAA_NOS
  -64.727833    18.312609 ! 9751381 ! Lameshur Bay St. John                ! VI ! NOAA_NOS
   -64.75381     17.69472 ! 9751401 ! Lime Tree Bay                        ! VI ! NOAA_NOS
   -64.92852    18.33411  ! 9751639 ! Charlotte Amalie                     ! VI ! NOAA_NOS
  -65.302997    18.299317 ! 9752235 ! Culebra                              ! PR ! NOAA_NOS
  -65.47362      18.08480 ! 9752695 ! Esperanza Vieques Island             ! PR ! NOAA_NOS
   -66.11642    18.458357 ! 9755371 ! San Juan                             ! PR ! NOAA_NOS
   -67.04639        17.97 ! 9759110 ! Magueyes Island                      ! PR ! NOAA_NOS
  -67.162142    18.215469 ! 9759394 ! Mayaguez                             ! PR ! NOAA_NOS
    -67.9385     18.08992 ! 9759938 ! Mona Island                          ! PR ! NOAA_NOS
   -61.82056    17.581904 ! 9761115 ! Barbuda                              ! AG ! NOAA_NOS
